RIL.SET,Plate.ID,Genotype,GermTrt,Rep,Dormancy,Total.Seeds,Germs.4wks
Bay x Sha,BS-156X_A3,BS-156_CROSS,Above,3,D,20,15
Bay x Sha,BS-5X_A3,BS-5_CROSS,Above,3,ND,20,9
Bay x Sha,BS-5X_A1,BS-5_CROSS,Above,1,ND,20,1
Bay x Sha,BS-5X_C1,BS-5_CROSS,Cold,1,ND,20,19
Bay x Sha,BS-5X_O1,BS-5_CROSS,Optimal,1,ND,20,2
Bay x Sha,BS-5X_C2,BS-5_CROSS,Cold,2,ND,20,11
Bay x Sha,BS-5X_O2,BS-5_CROSS,Optimal,2,ND,20,4
Bay x Sha,BS-5X_C3,BS-5_CROSS,Cold,3,ND,20,15
Bay x Sha,BS-5X_O3,BS-5_CROSS,Optimal,3,ND,20,16
Bay x Sha,BS-5X_A2,BS-5_CROSS,Above,2,ND,20,0
Bay x Sha,BSL14_O1,BSL_014,Optimal,1,D,20,7
Bay x Sha,BSL14_A2,BSL_014,Above,2,D,21,7
Bay x Sha,BSL14_O3,BSL_014,Optimal,3,D,20,7
Bay x Sha,BSL14_A1,BSL_014,Above,1,D,20,7
Bay x Sha,BSL14_C1,BSL_014,Cold,1,D,20,9
Bay x Sha,BSL14_C2,BSL_014,Cold,2,D,20,3
Bay x Sha,BSL14_O2,BSL_014,Optimal,2,D,20,4
Bay x Sha,BSL14_A3,BSL_014,Above,3,D,20,14
Bay x Sha,BSL14_C3,BSL_014,Cold,3,D,20,6
Bay x Sha,BSL17_A2,BSL_017,Above,2,ND,20,3
Bay x Sha,BSL17_O2,BSL_017,Optimal,2,ND,20,2
Bay x Sha,BSL17_A1,BSL_017,Above,1,ND,20,19
Bay x Sha,BSL17_A3,BSL_017,Above,3,ND,20,19
Bay x Sha,BSL17_C2,BSL_017,Cold,2,ND,20,9
Bay x Sha,BSL17_O3,BSL_017,Optimal,3,ND,20,20
Bay x Sha,BSL17_C1,BSL_017,Cold,1,ND,20,20
Bay x Sha,BSL17_O1,BSL_017,Optimal,1,ND,20,20
Bay x Sha,BSL17_C3,BSL_017,Cold,3,ND,20,16
Bay x Sha,BSL18_A1,BSL_018,Above,1,ND,20,1
Bay x Sha,BSL18_A2,BSL_018,Above,2,ND,20,7
Bay x Sha,BSL18_A3,BSL_018,Above,3,ND,20,16
Bay x Sha,BSL18_C1,BSL_018,Cold,1,ND,20,20
Bay x Sha,BSL18_O1,BSL_018,Optimal,1,ND,20,10
Bay x Sha,BSL18_C2,BSL_018,Cold,2,ND,20,20
Bay x Sha,BSL18_O2,BSL_018,Optimal,2,ND,20,10
Bay x Sha,BSL18_C3,BSL_018,Cold,3,ND,20,20
Bay x Sha,BSL18_O3,BSL_018,Optimal,3,ND,20,20
Bay x Sha,BSL22_A1,BSL_022,Above,1,D,20,5
Bay x Sha,BSL22_O3,BSL_022,Optimal,3,D,20,19
Bay x Sha,BSL22_C1,BSL_022,Cold,1,D,20,2
Bay x Sha,BSL22_O1,BSL_022,Optimal,1,D,20,8
